amplitude_cal,power,rabi_measured_no_ang,target power,rabi_des_no_cg,closest level,waist_size,cg_ang
0.1,0.00018076284394051624,125.1765635057135,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.1105263157894737,0.000219139103908788,137.82512105347317,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.12105263157894737,0.00026079417621379964,150.35483083812554,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.13157894736842107,0.00030034927067969496,161.35474180708093,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.14210526315789473,0.000348632597953036,173.8410906412319,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.15263157894736842,0.0003905493340429344,183.99515731194356,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.1631578947368421,0.00044786902174304166,197.03526120535994,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.17368421052631577,0.0004936241430558992,206.8552931008889,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.1842105263157895,0.0005581727903216094,219.9645896206348,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.19473684210526315,0.000607247269979783,229.43054004808366,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.20526315789473684,0.0006834459856964836,243.3999812120885,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.21578947368421053,0.0007301816621905305,251.58451268281095,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.22631578947368422,0.0008115096618894401,265.2255076593531,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.2368421052631579,0.0008715493055304778,274.86182292156775,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.24736842105263157,0.0009215790838641857,282.6407303224493,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.2578947368421053,0.0010248883882030357,298.0620802840265,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.26842105263157895,0.0010772166922668434,305.57651889523083,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.2789473684210526,0.001146134916223081,315.20007597194683,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.2894736842105263,0.0012447921769318158,328.4860017127277,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
0.3,0.0013017880048428348,335.9220984639381,0.00910862554468416,888.5765876316732,0.3,450,0.3535533905932738
