amplitude_cal,power,rabi_measured_no_ang,target power,rabi_des_no_cg,closest level,waist_size,cg_ang
0.1,0.000266862975086471,152.09418273855383,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.1105263157894737,0.00032175334737485613,167.0051941961306,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.12105263157894737,0.0003840923815210483,182.46782208472845,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.13157894736842107,0.0004455879139910366,196.53284598679963,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.14210526315789473,0.0005216987918327703,212.65635094376563,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.15263157894736842,0.0005827470991249209,224.75455494513824,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.1631578947368421,0.0006560361245416172,238.4692133549067,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.17368421052631577,0.000725721951181415,250.81503795856395,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.1842105263157895,0.0008274383591152012,267.8158444809896,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.19473684210526315,0.0008778482710421629,275.8532918720157,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.20526315789473684,0.0009757868192584885,290.8344950085821,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.21578947368421053,0.0010497423644718067,301.65449700685156,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.22631578947368422,0.0011479053780231157,315.44343054745065,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.2368421052631579,0.0012112342856625854,324.02798470247535,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.24736842105263157,0.0012948826557381554,335.02996253091976,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.2578947368421053,0.0014159275297631877,350.3393781620145,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.26842105263157895,0.0014827905372845381,358.5158369542616,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.2789473684210526,0.0015360520416749766,364.89793600042225,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.2894736842105263,0.0016805391259140225,381.67415776779893,0.011118927666850785,981.7477042468104,0.3,450,0.32
0.3,0.0017222566794196622,386.3824400324427,0.011118927666850785,981.7477042468104,0.3,450,0.32
